Hour,DbAddr,count,meanEValue,stddev_EValue,Year,Month,Day
0,50018,60,-49.99,0.001792294598844201,2024,1,22
1,50018,60,-49.99,0.001519547078476097,2024,1,22
2,50018,60,-49.99,0.0019110154245533758,2024,1,22
3,50018,60,-49.99,0.00174407282820896,2024,1,22
4,50018,21,-49.99,0.0015717730784426882,2024,1,22
5,50018,39,-49.99,0.0015118629354804913,2024,1,22
6,50018,60,-49.99,0.0018202595283917616,2024,1,22
7,50018,60,-49.99,0.001498840429813016,2024,1,22
8,50018,60,-49.99,0.0017291805346487388,2024,1,22
9,50018,60,-49.99,0.0015820843786850747,2024,1,22
10,50018,60,-49.99,0.0017837818764610655,2024,1,22
11,50018,60,-49.99,0.0018167040412594327,2024,1,22
12,50018,60,-49.99,0.0017385031677674989,2024,1,22
13,50018,60,-49.99,0.0018846122491913105,2024,1,22
14,50018,60,-49.99,0.0016682824960616077,2024,1,22
15,50018,60,-49.99,0.0016495257489735145,2024,1,22
16,50018,60,-49.99,0.0017366426448039963,2024,1,22
17,50018,60,-49.99,0.0016487906479619309,2024,1,22
18,50018,60,-49.99,0.0018796741107476999,2024,1,22
19,50018,60,-49.99,0.0015189264389809355,2024,1,22
20,50018,60,-49.99,0.001670944843784747,2024,1,22
21,50018,60,-49.99,0.0017065984467292208,2024,1,22
22,50018,60,-49.99,0.0015413741939445664,2024,1,22
23,50018,60,-49.99,0.0018291180097608937,2024,1,22
0,50018,60,-49.99,0.0014771143314535743,2024,1,23
1,50018,60,-49.99,0.0014506135547258374,2024,1,23
2,50018,60,-49.99,0.001617864573798424,2024,1,23
3,50018,60,-49.99,0.0018587037152305258,2024,1,23
4,50018,60,-49.99,0.0015476534403796106,2024,1,23
5,50018,60,-49.99,0.0018467074970038907,2024,1,23
6,50018,60,-49.99,0.0014312630728148842,2024,1,23
7,50018,60,-49.99,0.001686351499438162,2024,1,23
8,50018,60,-49.99,0.0015725197087945787,2024,1,23
9,50018,60,-49.99,0.0016442093015914937,2024,1,23
10,50018,60,-49.99,0.0017415996225657565,2024,1,23
11,50018,60,-49.99,0.0016767389292102783,2024,1,23
12,50018,60,-49.99,0.0015773946898083335,2024,1,23
13,50018,60,-49.99,0.001629065595655732,2024,1,23
14,50018,60,-49.99,0.0018519517664468724,2024,1,23
15,50018,60,-49.99,0.0016715090390542356,2024,1,23
16,50018,60,-49.99,0.0018221085968763825,2024,1,23
17,50018,60,-49.99,0.001528826436770031,2024,1,23
18,50018,60,-49.99,0.0013911743899856868,2024,1,23
19,50018,60,-49.99,0.0015266221817004989,2024,1,23
20,50018,60,-49.99,0.0019249910280931051,2024,1,23
21,50018,60,-49.99,0.0016690090120742645,2024,1,23
22,50018,60,-49.99,0.001693366037750365,2024,1,23
23,50018,60,-49.99,0.0016644833159327609,2024,1,23
0,50018,60,-49.99,0.0015093185145628532,2024,1,24
1,50018,60,-49.99,0.001779926517315784,2024,1,24
2,50018,60,-49.99,0.0016945588011848807,2024,1,24
3,50018,60,-49.99,0.0018379337954773636,2024,1,24
4,50018,60,-49.99,0.0018196674296439906,2024,1,24
5,50018,60,-49.99,0.0016849930527269722,2024,1,24
6,50018,60,-49.99,0.0017151801090681089,2024,1,24
7,50018,60,-49.99,0.0014625430673334402,2024,1,24
8,50018,60,-49.99,0.0015446042173201794,2024,1,24
9,50018,60,-49.99,0.0014717242188140617,2024,1,24
10,50018,60,-49.99,0.0019256206931681599,2024,1,24
11,50018,60,-49.99,0.0019194551038800168,2024,1,24
12,50018,60,-49.99,0.0019538834817848572,2024,1,24
13,50018,60,-49.99,0.0015301474656496865,2024,1,24
14,50018,60,-49.99,0.0018548588426674153,2024,1,24
15,50018,60,-49.99,0.0018478741764197506,2024,1,24
16,50018,60,-49.99,0.0016913762294932997,2024,1,24
17,50018,60,-49.99,0.0016573465391615178,2024,1,24
18,50018,60,-49.99,0.0019052975073209947,2024,1,24
19,50018,60,-49.99,0.0016298095933794817,2024,1,24
20,50018,60,-49.99,0.0019028214861229935,2024,1,24
21,50018,60,-49.99,0.0017521635141046269,2024,1,24
22,50018,60,-49.99,0.0018077847301606138,2024,1,24
23,50018,21,-49.99,0.0020092837710951605,2024,1,24
0,50018,39,-49.99,0.0018264527348420565,2024,1,25
1,50018,60,-49.99,0.0016461742969765584,2024,1,25
2,50018,60,-49.99,0.001603060218249204,2024,1,25
3,50018,60,-49.99,0.0012818220232807427,2024,1,25
