M:\Dors\015 Christchurch\StormPac\Outputs\Christchurch.csv
SRG Generated Data, Duration 10 years

StartTime,EndTime,Depth (mm),MeanIntensity (mm/hr),MaxIntensity (mm/hr),Duration (hours),UCWI (mm),API30 (mm), AntecDryPeriod (hours)
01/01/2100 17:00:00,12/01/2100 14:00:00,75.5,0.3,4.5,262,134,0,16
16/01/2100 21:00:00,22/01/2100 12:00:00,21.5,0.2,3.8,136,128,0.3,102
24/01/2100 01:00:00,05/02/2100 01:00:00,62,0.2,3.7,289,138,0.9,36
07/02/2100 17:00:00,09/02/2100 16:00:00,25,0.5,3.9,48,138,0.4,63
13/02/2100,15/02/2100 08:00:00,2.4,0,0.8,57,132,1.1,79
18/02/2100 01:00:00,26/02/2100 02:00:00,32.1,0.2,4.5,194,131,0.1,64
03/03/2100 08:00:00,04/03/2100 01:00:00,4.4,0.2,1.7,18,122,0,149
09/03/2100 06:00:00,11/03/2100 09:00:00,5.3,0.1,1.5,52,132,0.1,124
14/03/2100 23:00:00,16/03/2100 03:00:00,2.6,0.1,1.2,29,126,0.1,85
19/03/2100 19:00:00,20/03/2100 04:00:00,0.7,0.1,0.3,10,123,0.1,87
23/03/2100 02:00:00,28/03/2100 16:00:00,19.3,0.1,3,135,122,0,69
31/03/2100,03/04/2100 21:00:00,20.4,0.2,4.2,94,146,2.6,55
20/04/2100 12:00:00,22/04/2100 04:00:00,3.3,0.1,1.7,41,100,0,398
24/04/2100 09:00:00,27/04/2100 18:00:00,13.3,0.2,2.1,82,99,0.3,52
29/04/2100 19:00:00,01/05/2100 17:00:00,4.4,0.1,0.9,47,104,0.6,48
03/05/2100 08:00:00,03/05/2100 08:00:00,0.1,0.1,0.1,1,103,0,38
11/05/2100 21:00:00,12/05/2100 07:00:00,1.6,0.1,1.2,11,82,0,204
03/06/2100 20:00:00,08/06/2100 18:00:00,12.3,0.1,4.3,119,50,0,540
11/06/2100 09:00:00,12/06/2100 23:00:00,18.6,0.5,8.5,39,50,0.3,62
16/06/2100 17:00:00,16/06/2100 17:00:00,0.2,0.2,0.2,1,50,0.7,89
23/06/2100 20:00:00,24/06/2100 03:00:00,7.9,1,3.8,8,50,0,170
30/06/2100 21:00:00,04/07/2100 12:00:00,4.5,0.1,1.6,88,50,0.1,161
11/07/2100 20:00:00,11/07/2100 21:00:00,0.4,0.2,0.3,2,50,0,175
29/07/2100 08:00:00,30/07/2100 02:00:00,2.9,0.2,1.1,19,50,0,418
07/08/2100 11:00:00,07/08/2100 11:00:00,0.3,0.3,0.3,1,50,0,200
11/08/2100 21:00:00,11/08/2100 22:00:00,0.2,0.1,0.1,2,50,0,105
14/08/2100 11:00:00,14/08/2100 12:00:00,1.5,0.8,0.8,2,50,0,60
18/08/2100 02:00:00,18/08/2100 22:00:00,5.5,0.3,4.4,21,50,0,85
22/08/2100 15:00:00,22/08/2100 23:00:00,11,1.2,7.7,9,50,0.2,88
24/08/2100 21:00:00,25/08/2100 02:00:00,0.3,0.1,0.1,6,50,2.9,45
30/08/2100 16:00:00,03/09/2100 09:00:00,15.2,0.2,9.3,90,50,0,133
14/09/2100 10:00:00,15/09/2100 03:00:00,0.7,0,0.3,18,50,0,264
23/09/2100 01:00:00,24/09/2100 03:00:00,5.7,0.2,1.1,27,50,0,189
28/09/2100 18:00:00,30/09/2100 16:00:00,5,0.1,1.6,47,50,0.1,110
04/10/2100 15:00:00,07/10/2100 22:00:00,35.6,0.4,4.5,80,50,0.1,94
12/10/2100 05:00:00,12/10/2100 11:00:00,10.2,1.5,8.4,7,50,0.6,102
16/10/2100 06:00:00,18/10/2100 23:00:00,64.2,1,8.1,66,50,0.8,90
23/10/2100 16:00:00,25/10/2100 22:00:00,18.3,0.3,8.4,55,93,1.1,112
31/10/2100 02:00:00,05/11/2100 04:00:00,40.9,0.3,6.4,123,101,0.2,123
08/11/2100 20:00:00,08/11/2100 20:00:00,0.2,0.2,0.2,1,128,0.7,87
10/11/2100 17:00:00,11/11/2100 17:00:00,0.6,0,0.2,25,126,0.2,44
13/11/2100 09:00:00,17/11/2100 02:00:00,27.4,0.3,3.2,90,126,0,39
22/11/2100 08:00:00,24/11/2100 18:00:00,2.7,0,1,59,127,0.3,125
