M:\Dors\015 Christchurch\StormPac\Outputs\Rainfall.csv
SRG Generated Data

StartTime, Depth (mm)
07/02/2100 02:00:00         ,              0 
07/02/2100 03:00:00         ,              0 
07/02/2100 04:00:00         ,              0 
07/02/2100 05:00:00         ,              0 
07/02/2100 06:00:00         ,              0 
07/02/2100 07:00:00         ,              0 
07/02/2100 08:00:00         ,              0 
07/02/2100 09:00:00         ,              0 
07/02/2100 10:00:00         ,              0 
07/02/2100 11:00:00         ,              0 
07/02/2100 12:00:00         ,              0 
07/02/2100 13:00:00         ,              0 
07/02/2100 14:00:00         ,              0 
07/02/2100 15:00:00         ,              0 
07/02/2100 16:00:00         ,              0 
07/02/2100 17:00:00         ,              0 
07/02/2100 18:00:00         ,              0 
07/02/2100 19:00:00         ,              0 
07/02/2100 20:00:00         ,              0 
07/02/2100 21:00:00         ,              0 
07/02/2100 22:00:00         ,              0 
07/02/2100 23:00:00         ,              0 
08/02/2100    ,              0 
08/02/2100 01:00:00         ,              0 
08/02/2100 02:00:00         ,              0 
08/02/2100 03:00:00         ,              0 
08/02/2100 04:00:00         ,              0 
08/02/2100 05:00:00         ,              0 
08/02/2100 06:00:00         ,              0 
08/02/2100 07:00:00         ,              0 
08/02/2100 08:00:00         ,              0 
08/02/2100 09:00:00         ,              0 
08/02/2100 10:00:00         ,              0 
08/02/2100 11:00:00         ,              0 
08/02/2100 12:00:00         ,              0 
08/02/2100 13:00:00         ,              0 
08/02/2100 14:00:00         ,              0 
08/02/2100 15:00:00         ,              0 
08/02/2100 16:00:00         ,              0 
08/02/2100 17:00:00         ,              0 
08/02/2100 18:00:00         ,              0 
08/02/2100 19:00:00         ,              0 
08/02/2100 20:00:00         ,              0 
08/02/2100 21:00:00         ,              0 
08/02/2100 22:00:00         ,              0 
08/02/2100 23:00:00         ,              0 
09/02/2100    ,              0 
09/02/2100 01:00:00         ,              0 
09/02/2100 02:00:00         ,              0 
09/02/2100 03:00:00         ,              0 
09/02/2100 04:00:00         ,              0 
09/02/2100 05:00:00         ,              0.7 
09/02/2100 06:00:00         ,              0.4 
09/02/2100 07:00:00         ,              0 
09/02/2100 08:00:00         ,              0 
09/02/2100 09:00:00         ,              0 
09/02/2100 10:00:00         ,              0 
09/02/2100 11:00:00         ,              0 
09/02/2100 12:00:00         ,              0.1 
09/02/2100 13:00:00         ,              0 
09/02/2100 14:00:00         ,              0.1 
09/02/2100 15:00:00         ,              0.3 
09/02/2100 16:00:00         ,              0 
09/02/2100 17:00:00         ,              0 
09/02/2100 18:00:00         ,              4.7 
09/02/2100 19:00:00         ,              4.9 
09/02/2100 20:00:00         ,              0.2 
09/02/2100 21:00:00         ,              0.1 
09/02/2100 22:00:00         ,              0.4 
09/02/2100 23:00:00         ,              0.1 
10/02/2100    ,              0 
10/02/2100 01:00:00         ,              0 
10/02/2100 02:00:00         ,              0 
10/02/2100 03:00:00         ,              0 
10/02/2100 04:00:00         ,              0 
10/02/2100 05:00:00         ,              0.3 
10/02/2100 06:00:00         ,              0.3 
10/02/2100 07:00:00         ,              0.1 
10/02/2100 08:00:00         ,              0 
10/02/2100 09:00:00         ,              0 
10/02/2100 10:00:00         ,              0 
10/02/2100 11:00:00         ,              0 
10/02/2100 12:00:00         ,              0 
10/02/2100 13:00:00         ,              0 
10/02/2100 14:00:00         ,              0 
10/02/2100 15:00:00         ,              0.1 
10/02/2100 16:00:00         ,              0.6 
10/02/2100 17:00:00         ,              0.5 
