Threshold,Number of Days
10 mm,257
12 mm,188
14 mm,153
16 mm,116
18 mm,82
20 mm,65
22 mm,50
24 mm,38
26 mm,29
28 mm,19
30 mm,14
32 mm,11
34 mm,8
36 mm,8
38 mm,6
40 mm,4
Month,Year,Monthly Depth (mm)
1,2100,29.1
2,2100,77.1
3,2100,51.5
4,2100,47.3
5,2100,54.9
6,2100,35.4
7,2100,64.9
8,2100,44.7
9,2100,74.2
10,2100,50.5
11,2100,209.2
12,2101,64.1
1,2101,144.7
2,2101,58.8
3,2101,72.6
4,2101,67.3
5,2101,48.3
6,2101,11.9
7,2101,99.5
8,2101,24
9,2101,57.9
10,2101,55.9
11,2101,101.7
12,2102,92.2
1,2102,55.9
2,2102,48.4
3,2102,60.4
4,2102,97.6
5,2102,38.3
6,2102,8
7,2102,38.3
8,2102,53.3
9,2102,137.2
10,2102,85.1
11,2102,68
12,2103,115.4
1,2103,108.2
2,2103,71.9
3,2103,50.7
4,2103,48.5
5,2103,24.2
6,2103,74.9
7,2103,85.2
8,2103,79.2
9,2103,64
10,2103,108.4
11,2103,134.3
12,2104,124.9
1,2104,102.9
2,2104,204.6
3,2104,97.4
4,2104,38.6
5,2104,58.2
6,2104,41.3
7,2104,48.5
8,2104,16
9,2104,66.2
10,2104,72.5
11,2104,151.9
12,2105,47.5
1,2105,86
2,2105,79
3,2105,44.1
4,2105,62.9
5,2105,84.3
6,2105,57.6
7,2105,61.5
8,2105,51.8
9,2105,27.1
10,2105,45.1
11,2105,82.2
12,2106,118.1
1,2106,145
2,2106,73.1
3,2106,114
4,2106,34.2
5,2106,20.4
6,2106,54.9
7,2106,17.1
8,2106,45.6
9,2106,37.8
10,2106,78.9
11,2106,96.2
12,2107,96.8
1,2107,88.7
2,2107,123.4
3,2107,49.5
4,2107,105.6
5,2107,38.4
6,2107,79.4
7,2107,50.9
8,2107,66.6
9,2107,32.8
10,2107,136.9
11,2107,59.4
12,2108,182.9
1,2108,156
2,2108,67.8
3,2108,69.7
4,2108,139.3
5,2108,33.6
6,2108,85.9
7,2108,54.3
8,2108,10.7
9,2108,48.3
10,2108,69.3
11,2108,142.9
12,2109,77
1,2109,131.9
2,2109,35.6
3,2109,51.1
4,2109,102.8
5,2109,38
6,2109,47.9
7,2109,40
8,2109,44
9,2109,29.6
10,2109,70.2
11,2109,50.1
12,2110,107.2
1,2110,89.6
2,2110,0
DAILY
Threshold,Number of Days
10 mm,948
12 mm,726
14 mm,546
16 mm,389
18 mm,278
20 mm,203
22 mm,151
24 mm,116
26 mm,81
28 mm,60
30 mm,52
32 mm,39
34 mm,31
36 mm,27
38 mm,21
40 mm,16
DAILY
Month,Year,Monthly Depth (mm)
1,1981,6.4
2,1981,45.3
3,1981,122.8
4,1981,42
5,1981,71.8
6,1981,59.2
7,1981,39.8
8,1981,6.2
9,1981,157.1
10,1981,94.1
11,1981,36.5
12,1981,105.4
1,1982,48.7
2,1982,48.6
3,1982,94.6
4,1982,18.5
