"SITEID","SITENAME","SITEDESCRI","SITETYPE","SITESTATUS","POSTCODE","DIRECTIONS","W3W","X","Y","CATEGORY"
"10002","NAILSEA","BLACKFRIARS UNIT","Wessex Office","In Use","BS19 2DJ","NOT SAME SITE AS MAIN OFFICE.","again.fines.swear","345933","169975","Other"
"10003","BRIDGWATER","BATH ROAD","Wessex Office","Demolished","TA6 4TR","","football.sparrows.earl","331600","138400","Other"
"10004","BRIDGWATER","WEST QUAY","Wessex Office","Sold","TA6 3HW","","rocky.vision.landowner","329979","137224","Other"
"10007","DURLEIGH","FISHING LODGE","Wessex Fishing Facility","In Use","TA5 2AW","ENMORE ROAD BRIDGWATER","mouth.could.author","327360","136100","Suppl"
"10009","TAUNTON","GALMINGTON OFFICE","Wessex Office","In Use","TA1 5NA","ADDRESS IS CORNISHWAY WEST, GALMINGTON TRADING ESTATE, TAUNTON TA1 5NA OTHER KEYHOLDERS - 4. BRIAN WYATT","pigs.claims.preoccupied","320757","123991","Other"
"10010","SOMERTON","BEHIND BERRY","Private Sewage Pumping Station","In Use","TA11 7PD","","betrayal.adopters.boring","348946","128721","Waste"
"10011","TROWBRIDGE","BOWYERS FACTORY CULVERT","Combined Sewer Overflow","In Use","BA14 8JZ","","fears.abode.takes","385173","158087","Waste"
"10013","HILPERTON","PAXCROFT","Private Sewage Treatment Works","In Use","BA14 6JB","","resides.spillage.tangible","388457","159419","Waste"
"10014","WIMBORNE","LITTLE CANFORD DEPOT","Wessex Store or Depot","In Use","BH21 7LR","BARRIER","shoelaces.desktop.playback","404750","99480","Other"
"10016","BATH","MIDLAND ROAD","Wessex Office","Sold","BA2 3EN","","jump.logic.trucks","373867","164935","Other"
"10017","MINEHEAD","VULCAN ROAD","Wessex Store or Depot","In Use","TA24 5BY","","lizards.less.storybook","297666","145944","Other"
"10019","UPPER MINETY","TELLINGS ORCHARD","Sewage Pumping Station","In Use","SN16 9SU","","nooks.himself.exacted","400657","191243","Waste"
"10020","NAILSEA","CLEVEDON WALK","Wessex Office","In Use","BS48 1WA","OPPOSITE LARGE FREE CAR PARK IN CENTRE OF NAILSEA AT CLEVEDON WALK","awake.memo.leaned","347301","170825","Other"
"10021","POOLE","NUFFIELD ROAD","Wessex Office","Sold","BH17 0RL","2, NUFFIELD ROAD,POOLE.","young.kinks.dice","401484","93306","Other"
"10024","BATH","QUAY HOUSE","Wessex Office","Sold","BA1 1UA","","taped.door.walks","374970","164400","Other"
"10025","VERWOOD","DUKES COURT","Sewage Pumping Station","In Use","BH31 7QF","THE SPS IS IN FRONT OF THE FIRST BLOCK OF FLATS IN DUKES COURT.","wires.unclaimed.rashers","408525","109151","Waste"
"10026","SALTFORD","LABORATORY","Wessex Laboratory","In Use","BS31 3ER","MEAD LANE, SALTFORD | A4 DECKER OR X39 AQUAE FROM BATH OR BRISTOL. | SLIDING GATE & PEDESTRIAN GATE","gripes.tastings.plankton","369297","168165","M&G"
"10027","SALISBURY","CHURCHFIELDS TELFORD ROAD","Wessex Store or Depot","In Use","SP2 7PH","TELFORD ROAD","pinks.games.also","413095","129894","Other"
"10028","STOKE ST MICHAEL","STOKE BOTTOM","Wessex Office","Sold","","","nursery.throwaway.cleanest","365700","148162","Other"
"10029","BATH","SYDENHAM BUILDINGS","Wessex Office","In Use","BA2 3BS","FROM THE CENTRE OF BATH ON THE A36 HEADING TOWARDS BRISTOL, TAKE A LEFT TURN ONTO SYDENHAM BUILDINGS, JUST BEFORE ST JAMES CEMETERY. SITE ON RIGHT AFTER ABOUT 60 YARDS. | 15MIN WALK FROM BATH SPA | SLIDING GATE","busy.layers.ended","374225","164540","Other"
"10030","KENNET WAY","KENNET WAY","Wessex Office","In Use","BA14 8RN","APPROACHING FROM BATH (NORTH). TAKE A363 FROM BATHFORD TOWARDS BRADFORD ON AVON. FORK LEFT ONTO B3105 SIGNED STAVERTON, HILPERTON, TROWBRIDGE. GO THROUGH STAVERTON. OVER CANAL AT MINI ROUNDABOUT TURN RIGHT. LEFT AT NEXT ROUNDABOUT. STRAIGHT ACROSS NEXT R","inserting.pigtails.glides","386051","159417","Other"
"10031","TUCKING MILL","LABORATORY","Wessex Laboratory","Out of Service","BA2 7DB","","filer.glory.colleague","376300","161700","M&G"
"10034","CHIPPENHAM","WESTMEAD","Wessex Store or Depot","In Use","SN15 3HZ","WESTMEAD LANE, CHIPPENHAM","knots.cheese.milky","391976","172899","Other"
"10035","BRISTOL","WESSEX HOUSE","Wessex Office","Sold","BS2 0JQ","ENTER BRISTOL BY WHATEVER ROUTE, FOLLOW SIGNS FOR BROADMEAD SHOPPING CENTRE. ONCE AT THE SHOPPING CENTRE, TAKE ROAD TOWARDS BEDMINSTER, CROSS THE RIVER AND TAKE THE NEXT LEFT AT A MINI ROUNDABOUT INTO PASSAGE STREET. WESSEX HOUSE IS ABOUT 300 YARDS ALONG","fancy.cling.fingernails","359391","172946","Other"
"10036","BATH","WIDCOMBE HOUSE","Wessex Office","Sold","BA2 4JT","","level.remedy.effort","375410","164210","Other"
"10037","YEOVIL","PRESTON ROAD TRAINING CENTRE","Wessex Office","In Use","BA20 2ER","ADDRESS : 303 PRESTON ROAD, YEOVIL, SOMERSET BA20 2ER","spellings.shimmered.plod","353219","116205","Other"
"10038","SHAFTESBURY","BLEKE STREET","Sewage Pumping Station","In Use","SP7 8AH","THE SPS IS AT THE BOTTOM OF THE DRIVE FROM BLEKE STREET IN FRONT OF THE TWO HOUSES.","spice.cleanser.expressed","386294","123312","Waste"
"10039","CLATWORTHY","FISHING LODGE","Wessex Fishing Facility","In Use","TA4 2EJ","","typist.broadcast.redeeming","304400","131200","Suppl"
"10040","SUTTON BINGHAM","FISHING LODGE","Wessex Fishing Facility","In Use","BA22 9QH","","notice.streamers.amending","355678","111348","Suppl"
"10042","WIMBLEBALL","FISHING LODGE","Wessex Fishing Facility","In Use","TA22 9NS","","conjured.runs.voters","296500","129300","Suppl"
"10043","CHILTON POLDEN","SMALLWAYS LANE","Sewage Pumping Station","In Use","TA7 9EG","FOLLOW POSTCODE TO SMALLWAYS LANE CHILTON POLDEN. PS IF IN THE REAR GARDEN OF KINGSFIELD, SECON TO LAST HOUSE ON THE LEFT.","whisker.stem.spent","337690","139925","Waste"
"10044","SOPWORTH","SANDY FARM","Private Sewage Pumping Station","In Use","SN14 6PP","","basically.took.abruptly","383689","185698","Waste"
"10045","BINEGAR","2 DOUGLAS COURT","Sewage Pumping Station","In Use","BA3 4UQ","TRAVELLING SOUTH ALONG A37 TURN RIGHT INTO STATION ROAD SIGNPOSTED BINEGAR. FOLLOW STATION ROAD UP THE HILL AND KEEP GOING DOWN THE OTHER SIDE WHERE ROAD TURNS SHARPLY TO THE LEFT. JUST AFTER LEFT TURN DOUGLAS COURT ENTRANCE IS ON THE LEFT HAND SIDE. USE","reseller.army.claw","361579","149394","Waste"
"10046","CORFE MULLEN","CORFE VIEW ROAD","Sewage Pumping Station","In Use","BH21 3NA","FOLLOW POSTCODE TO CORFE VIEW ROAD, PS IS IN GARDEN OF 54, CONTROLS IN GARAGE OF 52.","frostbite.tilting.outsmart","398380","96331","Waste"
"10048","LANGTON MATRAVERS","ACTON TANKS","Radio Station","Abandoned","BH19 3JW","","heads.unless.twinkling","398500","78500","Other"
"10049","BOURNEMOUTH","ALUMHURST ROAD","Sewage Pumping Station","In Use","BH4 8EW","THIS IS A S105A PUMPING STATION.","dined.vouch.wing","406842","90725","Waste"
"10050","WOTTON-UNDER-EDGE","CANONS COURT MEWS 2","Sewage Pumping Station","In Use","GL12 7PN","TURN INTO CANONS COURT FROM STUMPWELL LANE THEN LEFT AGAIN INTO THE MEWS. THE WET WELL IS IN THE PARKING AREA OUTSIDE NO 9, THE PANEL IS ON THE WALL OUTSIDE NO 12.","mallets.uses.smug","374389","193824","Waste"
"10051","DEVIZES","SUPPLY DEPOT (LACO)","Wessex Store or Depot","Sold","SN10 1JP","LOWER WHARF, NORTHGATE STREET, DEVIZES. NEXT TO OLD ASSIZES COURT. |","equal.stretcher.helps","400184","161747","Other"
"10052","ASHFORD","CIVIL DEFENCE STORE","Wessex Store or Depot","Standby","TA5 2NQ","TA5 2ITE ASHFORD WTW |","builder.compliant.revived","323534","138486","Other"
"10053","CHEW MAGNA","LIMEBURN HILL","Sewage Pumping Station","In Use","BS40 8QL","","eliminate.flown.cheeks","356142","163479","Waste"
"10054","SEABOROUGH","THE OLD HOUSE","Single Property Booster","In Use","DT8 3QY","","resting.commended.deduced","342916","106151","Suppl"
"10055","SUTTON VENY","SOUTHLEIGH HOUSE","Single Property Booster","In Use","BA12 7BP","","unafraid.boating.enigma","387784","141752","Suppl"
"10056","MILTON ABBAS","2 DEER PARK COTTAGES","Single Property Booster","In Use","DT11 0AY","","duet.foggy.partner","380571","102822","Suppl"
"10057","COMPTON ABBAS","27","Single Property Booster","In Use","SP7 0NL","","remaining.yoga.stray","386793","118334","Suppl"
"10058","COMPTON ABBAS","THE BUTTS","Single Property Booster","In Use","SP7 0NL","","games.certainly.handrail","386801","118373","Suppl"
"10059","COMPTON ABBAS","GLYN HOUSE","Single Property Booster","In Use","SP7 0NL","","adopt.fillings.stocky","386952","118470","Suppl"
"10060","COMPTON ABBAS","THE OLD SCHOOL HOUSE","Single Property Booster","In Use","SP7 0NL","","deduced.capillary.roof","386904","118503","Suppl"
"10061","MATCHAMS","HURN ROAD NEW FOREST MOTEL","Private Sewage Pumping Station","In Use","BH24 2BT","SERVES 49 PROPERTIES BUT ON SINGLE MANAGED SITE.","firmly.bolts.shortens","413152","101658","Waste"
"10063","TROWBRIDGE","TOWN BRIDGE","Combined Sewer Overflow","Unknown","BA14 8JZ","MARCH 2019 STORM OVERFLOW SPILLS LESS FREQUENTLY THAN 1 IN 30 YEARS SO NO PERMIT REQUIRED AND CONFIRMED WITH EA.","smiles.amused.unrealistic","385325","157997","Waste"
"10064","EAST HUNTSPILL","CROWN INN CHURCH ROAD","Sewage Pumping Station","In Use","TA9 3PG","","musically.obvious.dinosaur","334360","144855","Waste"
"10066","CASTLE COMBE","NEAR PREEDY COTTAGE","Sewage Pumping Station","In Use","SN14 7HX","TAKE A420 OUT OF CHIPPENHAM. TURN ONTO B403 ROAD THROUGH YATTON KEYNELL. 1 MILE TURN LEFT INTO CASTLE COMBE VILLAGE. DOWN HILL OVER BRIDGE. PUMPING STATION WET WELL IS IN ROAD PAST PUBLIC TOILETS THAT HOUSE THE CONTROLS.","surpasses.sunset.munched","384176","176973","Waste"
"10067","BRISTOL","KINGDOM VIEW FOUL 1","Private Sewage Pumping Station","In Use","BS3 3NB","","snap.pulled.factor","357816","170906","Waste"
"10068","BRISTOL","KINGDOM VIEW FOUL 2","Private Sewage Pumping Station","In Use","BS3 3NB","","played.magma.shady","357821","170914","Waste"
"10069","BRISTOL","KINGDOM VIEW SURFACE 1","Private Sewage Pumping Station","In Use","BS3 3NB","","feeds.kind.leap","357819","170910","Waste"
"10070","LAND BELONGING LITTLE ROCK","BRENT KNOLL","Sludge Storage Site","In Use","TA9 4BL","OWNER RESIDES AT LITTLE ROCK, BARROW ROAD TA8 2PN.","official.cyber.luring","331417","151363","Waste"
"10071","TIVINGTON FARM","MINEHEAD","Sludge Storage Site","In Use","TA24 8SU","","sliding.continues.relief","293261","145100","Waste"
"10072","CORSHAM","THE CLEEVE","Combined Sewer Overflow","Out of Service","SN13 9JG","","trumped.cove.fingertip","387070","169676","Waste"
"10073","WEYMOUTH","LITTLESEA HOLIDAY PARK","Private Sewage Pumping Station","In Use","DT4 9DT","ACTUALLY SERVES HOLIDAY PARK BUT SINGLE MANAGED SITE HENCE CURRENTLY CLASSED AS PRIVATE SINGLE PROPERTY SPS.","making.online.dragon","365371","78594","Waste"
"10074","DORCHESTER","MAX GATE","Private Sewage Pumping Station","In Use","DT1 2AB","","arrow.listen.stubborn","370452","89914","Waste"
"10075","EAST KNOYLE","UPTON FARM","Private Sewage Pumping Station","In Use","SP3 6BW","","public.heightens.unhappy","387110","132074","Waste"
"10076","COLERNE","ST. JOHN THE BAPTIST CHURCH","Private Sewage Pumping Station","In Use","SN14 8EL","","cabbages.expanded.imprints","382079","171134","Waste"
"10077","WEYMOUTH","GRANBY INDUSTRIAL ESTATE","Wessex Store or Depot","In Use","DT4 9UX","","vivid.device.spine","365420","79730","Other"
"10078","BATH","CLAVERTON DOWN OPERATIONS CENTRE","Wessex Office","In Use","BA2 7WW","CLAVERTON DOWN ROAD","woods.mini.change","377829","162908","Other"
"10079","TAUNTON","MOUNTFIELDS ROAD","Private Sewage Pumping Station","In Use","TA1 3DG","","strike.fortunate.pirate","323315","123151","Waste"
"10080","KNOWLE","THE KNOWLE INN","Sewage Pumping Station","In Use","TA7 8PN","","fencing.boarded.tutorial","333533","139907","Waste"
